method,W,p_value,normal
PCA_4_KMeans_n_clusters6_n_init10_random_state42,0.9853962336788268,0.7885026241286461,True
PCA_4_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.9794855492896646,0.5304740800317935,True
PCA_4_GMM_n_components7_covariance_typefull_random_state42,0.9467119709320101,0.02503824971388606,False
PCA_4_Agglomerative_n_clusters7_linkageward,0.9907597136601415,0.9622451392911957,True
PCA_4_KMeans_n_clusters7_n_init10_random_state42,0.9816832389859776,0.6248017046193616,True
PCA_4_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.9833629804409542,0.6995985421581801,True
PCA_4_GMM_n_components8_covariance_typefull_random_state42,0.9839158144733119,0.7241838345684667,True
PCA_4_Agglomerative_n_clusters8_linkageward,0.9797484220979826,0.5414017668528337,True
PCA_4_KMeans_n_clusters8_n_init10_random_state42,0.9815206758681997,0.6176339893552781,True
PCA_4_Spectral_n_clusters8_affinitynearest_neighbors_random_state42,0.9818445826634751,0.6319359083469289,True
PCA_4_GMM_n_components9_covariance_typefull_random_state42,0.9743988739792886,0.3460781043114153,True
PCA_4_Agglomerative_n_clusters9_linkageward,0.9843849988557779,0.7448759062009591,True
PCA_4_KMeans_n_clusters9_n_init10_random_state42,0.9597386805987528,0.08667949337289335,True
PCA_4_Spectral_n_clusters9_affinitynearest_neighbors_random_state42,0.982860833126795,0.6771809883747684,True
PCA_4_GMM_n_components10_covariance_typefull_random_state42,0.9718133242555773,0.2738808504373736,True
PCA_4_Agglomerative_n_clusters10_linkageward,0.9898514399637786,0.9426485325055585,True
PCA_4_KMeans_n_clusters10_n_init10_random_state42,0.9838947644576044,0.7232510143179655,True
PCA_4_Spectral_n_clusters10_affinitynearest_neighbors_random_state42,0.9650995590895431,0.1453118549822619,True
PCA_5_DBSCAN_eps0.1_min_samples5,0.893136151107691,0.0002873432532432645,False
PCA_5_DBSCAN_eps0.2_min_samples5,0.9675649845266385,0.18392288713276997,True
PCA_5_DBSCAN_eps0.30000000000000004_min_samples5,0.9762588420008558,0.40707548171891805,True
PCA_5_DBSCAN_eps0.4_min_samples5,0.9847680044027759,0.7615857599241269,True
PCA_5_DBSCAN_eps0.5_min_samples5,0.9644800230626117,0.1369161584123949,True
PCA_5_DBSCAN_eps0.6000000000000001_min_samples5,0.9475920353775356,0.02719014492906472,False
PCA_5_DBSCAN_eps0.7000000000000001_min_samples5,0.9665120921971538,0.16636127189474315,True
PCA_5_DBSCAN_eps0.8_min_samples5,0.9723775204756615,0.28842325178378514,True
PCA_5_DBSCAN_eps0.9_min_samples5,0.9677762712398913,0.18765303020704968,True
PCA_5_DBSCAN_eps1.0_min_samples5,0.9621466606640813,0.10935490056463204,True
PCA_5_GMM_n_components2_covariance_typefull_random_state42,0.9793011741912142,0.5228787826515553,True
PCA_5_Agglomerative_n_clusters2_linkageward,0.8716330398189598,6.296647483423157e-05,False
PCA_5_KMeans_n_clusters2_n_init10_random_state42,0.9813787001531075,0.6113925606815465,True
PCA_5_Spectral_n_clusters2_affinitynearest_neighbors_random_state42,0.8241773501868093,3.3160167975698862e-06,False
PCA_5_GMM_n_components3_covariance_typefull_random_state42,0.9848512343671423,0.7651900872767171,True
PCA_5_Agglomerative_n_clusters3_linkageward,0.9442355885573613,0.019882443055772234,False
PCA_5_KMeans_n_clusters3_n_init10_random_state42,0.9376525701244633,0.010890771819503407,False
PCA_5_Spectral_n_clusters3_affinitynearest_neighbors_random_state42,0.9767920638880235,0.42597542813632394,True
PCA_5_GMM_n_components4_covariance_typefull_random_state42,0.9679726466244196,0.1911838966899522,True
PCA_5_Agglomerative_n_clusters4_linkageward,0.9647872155737959,0.14101829543703578,True
PCA_5_KMeans_n_clusters4_n_init10_random_state42,0.9395756304082672,0.012962256470652548,False
PCA_5_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.9096844205589684,0.0010195333633246852,False
PCA_5_GMM_n_components5_covariance_typefull_random_state42,0.9854094594261414,0.7890613995502235,True
PCA_5_Agglomerative_n_clusters5_linkageward,0.973418438392858,0.3170093947440743,True
PCA_5_KMeans_n_clusters5_n_init10_random_state42,0.9666300181280693,0.16824556698548235,True
PCA_5_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.9743287870700021,0.34392994751309736,True
PCA_5_GMM_n_components6_covariance_typefull_random_state42,0.9694581431269196,0.2199806803352272,True
PCA_5_Agglomerative_n_clusters6_linkageward,0.9827934490030614,0.6741717427302907,True
PCA_5_KMeans_n_clusters6_n_init10_random_state42,0.9880437732058127,0.8902428799412583,True
PCA_5_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.9543239708392296,0.05148839897707072,True
PCA_5_GMM_n_components7_covariance_typefull_random_state42,0.9479321585972331,0.02807244908872847,False
PCA_5_Agglomerative_n_clusters7_linkageward,0.9772322231510822,0.442041958300406,True
PCA_5_KMeans_n_clusters7_n_init10_random_state42,0.9882879480491034,0.8982823729951842,True
PCA_5_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.9337084812727121,0.007654815612369029,False
PCA_5_GMM_n_components8_covariance_typefull_random_state42,0.9843730992811731,0.7443538275247049,True
PCA_5_Agglomerative_n_clusters8_linkageward,0.9501475027105406,0.03459441379137656,False
PCA_5_KMeans_n_clusters8_n_init10_random_state42,0.985977659499675,0.8126974250613631,True
