method,W,p_value,normal
PCA_6_Spectral_n_clusters2_affinitynearest_neighbors_random_state42,0.7805168005707155,3.209153506018157e-07,False
PCA_6_GMM_n_components3_covariance_typefull_random_state42,0.9159071574529518,0.0016826489564064982,False
PCA_6_Agglomerative_n_clusters3_linkageward,0.9694183525240794,0.21915946116548726,True
PCA_6_KMeans_n_clusters3_n_init10_random_state42,0.9525014153673841,0.0432614047271223,False
PCA_6_Spectral_n_clusters3_affinitynearest_neighbors_random_state42,0.8189288110108193,2.463191902085467e-06,False
PCA_6_GMM_n_components4_covariance_typefull_random_state42,0.9315576980939584,0.006332309490407735,False
PCA_6_Agglomerative_n_clusters4_linkageward,0.97596749830643,0.3970130550252998,True
PCA_6_KMeans_n_clusters4_n_init10_random_state42,0.9401481628213796,0.013655728044787076,False
PCA_6_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.882711626492638,0.00013537254495807447,False
PCA_6_GMM_n_components5_covariance_typefull_random_state42,0.9268359784539423,0.004202687912504391,False
PCA_6_Agglomerative_n_clusters5_linkageward,0.9883792055214362,0.9012152613387477,True
PCA_6_KMeans_n_clusters5_n_init10_random_state42,0.9399024093774229,0.013353424056368933,False
PCA_6_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.9199814155268781,0.0023542721359979322,False
PCA_6_GMM_n_components6_covariance_typefull_random_state42,0.882146010911012,0.00013007589627727611,False
PCA_6_Agglomerative_n_clusters6_linkageward,0.9309614101515897,0.006009889673847389,False
PCA_6_KMeans_n_clusters6_n_init10_random_state42,0.7104298914734426,1.2796745450675447e-08,False
PCA_6_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.9320601547493885,0.006618112010018438,False
PCA_6_GMM_n_components7_covariance_typefull_random_state42,0.8792480869989132,0.00010617235846838563,False
PCA_6_Agglomerative_n_clusters7_linkageward,0.9030717699262705,0.0006078390824986355,False
PCA_6_KMeans_n_clusters7_n_init10_random_state42,0.7096619887725218,1.2388435085937832e-08,False
PCA_6_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.9696668568789972,0.22433485389748797,True
PCA_6_GMM_n_components8_covariance_typefull_random_state42,0.9765885983396665,0.4186902413784111,True
PCA_6_Agglomerative_n_clusters8_linkageward,0.975673408313127,0.3870465515682004,True
PCA_6_KMeans_n_clusters8_n_init10_random_state42,0.9456168851784702,0.022605182135282856,False
PCA_6_Spectral_n_clusters8_affinitynearest_neighbors_random_state42,0.9722297201744443,0.2845499577962505,True
PCA_6_GMM_n_components9_covariance_typefull_random_state42,0.9836809925792769,0.7137609134911612,True
PCA_6_Agglomerative_n_clusters9_linkageward,0.9709657486008804,0.2532489485353737,True
PCA_6_KMeans_n_clusters9_n_init10_random_state42,0.9526979847253536,0.04407966804072746,False
PCA_6_Spectral_n_clusters9_affinitynearest_neighbors_random_state42,0.9869973068942997,0.8528842287554854,True
PCA_6_GMM_n_components10_covariance_typefull_random_state42,0.9496659247989128,0.033054253515043,False
PCA_6_Agglomerative_n_clusters10_linkageward,0.9774282444036452,0.44933029226721605,True
PCA_6_KMeans_n_clusters10_n_init10_random_state42,0.9275544375232367,0.004470635634217437,False
